country_name,population,gdp_per_capita,human_development_index,gender_inequality_index,corruption_perceptions_index,total
Afghanistan,33370794,613.8566892000001,0.465,0.6759999999999999,12,1
Albania,2889104,4578.6319939999985,0.733,0.267,33,0
United Arab Emirates,9214175,43751.83889,0.835,0.247,70,0
Argentina,42669500,12334.79825,0.836,0.364,34,4
Armenia,2912403,3986.231624,0.733,0.299,37,2
Australia,23475686,62510.79117,0.935,0.123,80,38
Austria,8546356,51717.49594,0.885,0.083,72,17
Azerbaijan,9535079,7891.313147,0.7509999999999999,0.33,29,9
Burundi,9844297,274.8579479,0.4,0.483,20,0
Belgium,11209057,47700.54036,0.89,0.076,76,3
Benin,10286842,1291.409808,0.48,0.609,39,0
Burkina Faso,17586017,792.8467784,0.402,0.6065,38,0
Bangladesh,154520167,1118.853663,0.57,0.527,25,0
Bulgaria,7223938,7874.260904000002,0.782,0.226,43,3
Bahrain,1336075,24989.40012,0.8240000000000001,0.224,49,1
Bahamas,370633,29445.03053,0.79,0.37,71,1
Bosnia and Herzegovina,3482104,5329.635045,0.733,0.172,39,0
Belarus,9474511,8318.512690000001,0.7979999999999999,0.146,31,16
Bolivia,10706517,3081.878834,0.662,0.451,35,0
Brazil,202763735,12112.58821,0.755,0.42,43,17
Barbados,284825,16489.07224,0.785,0.29100000000000004,74,0
Bhutan,719056,2652.214589,0.605,0.496,65,0
Botswana,2088614,7780.638384999998,0.698,0.445,63,1
Central African Republic,4464175,424.4487513,0.35,0.6559999999999999,24,0
Canada,35437435,50893.44671,0.913,0.102,81,43
Switzerland,8188649,86605.56337999999,0.93,0.045,86,15
Chile,17758959,14670.99676,0.8320000000000001,0.325,73,0
China,1364270000,7678.599431999999,0.727,0.168,36,100
Cote d'Ivoire,22647683,1561.463655,0.462,0.672,32,0
Cameroon,22681858,1542.620266,0.512,0.5720000000000001,27,1
Democratic Republic of the Congo,73767447,486.7870819,0.433,0.657,22,0
Congo Republic,4736974,2996.9180260000007,0.591,0.594,23,0
Colombia,46969209,8114.084068999998,0.72,0.399,37,8
Costa Rica,4795396,10547.15186,0.7659999999999999,0.313,54,0
Cuba,11306902,7133.342095,0.769,0.307,46,15
Cyprus,1152285,27129.62612,0.85,0.12,63,1
Czech Republic,10525347,19744.55861,0.87,0.134,51,19
Germany,80982500,47959.99327,0.916,0.073,79,63
Denmark,5643475,62548.98473,0.923,0.043,92,9
Dominican Republic,10165178,6608.828102,0.715,0.476,32,2
Algeria,38923687,5493.02559,0.736,0.429,36,1
Ecuador,15951838,6377.09153,0.732,0.394,33,0
Egypt,90424654,3378.831358,0.69,0.575,37,4
Spain,46480882,29461.55033,0.8759999999999999,0.087,60,18
Estonia,1314545,20367.10266,0.861,0.154,69,2
Ethiopia,98094253,566.9264665000002,0.442,0.531,33,8
Finland,5461512,50260.29986,0.883,0.06,89,8
France,66312067,43011.2631,0.888,0.103,69,50
Gabon,1883800,9663.42924,0.684,0.547,37,1
United Kingdom,64602298,47425.60768,0.907,0.149,78,70
Georgia,3719414,4739.188338,0.754,0.363,52,6
Ghana,27224472,1971.033347,0.579,0.5479999999999999,48,0
Gambia,2024042,607.4284041,0.441,0.642,29,0
Greece,10892413,21760.9798,0.865,0.121,43,2
Guatemala,15306316,3779.642328,0.627,0.503,32,1
Guyana,763380,4031.600662,0.636,0.509,30,0
Honduras,8955589,2206.051934,0.606,0.466,29,0
Croatia,4238389,13600.19439,0.818,0.12,48,7
Haiti,10549008,831.8739489,0.483,0.597,19,0
Hungary,9866468,14246.1098,0.828,0.249,54,18
Indonesia,255129004,3491.624791,0.684,0.472,34,3
India,1295604184,1573.881492,0.609,0.544,38,6
Ireland,4657740,55492.98268,0.916,0.135,74,6
Iran,77465753,5585.526758,0.7659999999999999,0.514,27,13
Iraq,34411951,6818.804620999998,0.654,0.528,16,0
Iceland,327386,54241.93466,0.899,0.065,79,0
Israel,8215700,37678.88977,0.894,0.118,60,0
Italy,60789140,35518.41529,0.873,0.085,43,36
Jamaica,2875136,4833.790318,0.7190000000000001,0.426,38,12
Jordan,8920049,4072.765475,0.748,0.48,49,0
Japan,127276000,38109.41211000001,0.8909999999999999,0.124,76,46
Kazakhstan,17288285,12807.26069,0.7879999999999999,0.203,29,12
Kenya,46699981,1315.804535,0.5479999999999999,0.569,25,13
Kyrgyzstan,5835500,1279.769783,0.655,0.38,27,0
Cambodia,15274503,1093.496191,0.555,0.482,21,0
South Korea,50746659,29249.57522,0.898,0.071,55,38
Kuwait,3690941,44062.31704,0.816,0.34,44,1
Lao People's Democratic Republic,6639756,1998.335215,0.575,0.475,25,0
Lebanon,6262410,7686.25603,0.769,0.386,27,0
Liberia,4359505,721.1827948,0.43,0.649,37,0
Libya,6362037,6466.91027,0.7240000000000001,0.16899999999999998,18,0
Saint Lucia,178296,9843.915819,0.7290000000000001,0.3670000000000001,71,0
Sri Lanka,20778000,3819.25353,0.757,0.385,38,0
Lesotho,2043437,1223.333032,0.4970000000000001,0.5489999999999999,49,0
Lithuania,2932367,16548.40641,0.8390000000000001,0.128,58,5
Luxembourg,556319,118823.6484,0.892,0.081,82,0
Latvia,1993782,15740.32675,0.8190000000000001,0.195,55,7
Morocco,34192347,3171.699192,0.628,0.517,39,1
Moldova,2856950,3328.801449,0.693,0.25,35,0
Mexico,120355128,10922.37605,0.7559999999999999,0.355,35,8
North Macedonia,2077775,5468.480869,0.747,0.16,45,0
Mali,16934220,848.302758,0.419,0.6859999999999999,32,0
Malta,434558,26008.82772,0.8390000000000001,0.213,55,0
Myanmar,52280807,1251.820765,0.536,0.443,21,0
Montenegro,621810,7388.147793999998,0.802,0.163,42,1
Mongolia,2940108,4158.525715,0.727,0.28300000000000003,39,5
Mozambique,26286163,673.9699555,0.416,0.5805,31,0
Mauritania,3930896,1677.108166,0.506,0.63,30,0
Mauritius,1260934,10153.93822,0.777,0.355,54,0
Malawi,16289540,371.2697496,0.445,0.616,33,0
Malaysia,29866559,11319.07976,0.779,0.287,52,2
Namibia,2273430,5435.171911,0.628,0.4875,49,0
Niger,19240157,562.1218446,0.348,0.698,35,0
Nicaragua,6142733,1934.069508,0.631,0.466,28,0
Netherlands,16865008,52830.17423,0.922,0.044,83,44
Norway,5137232,97019.18275,0.944,0.057,86,31
Nepal,26906926,743.4133813,0.5479999999999999,0.506,29,0
New Zealand,4509700,44553.28221000001,0.913,0.165,91,13
Oman,4027260,20131.91672,0.7929999999999999,0.284,45,0
Pakistan,195306825,1251.164104,0.5379999999999999,0.55,29,0
Panama,3901315,12796.07004,0.78,0.458,37,0
Peru,30090359,6672.880255,0.7340000000000001,0.389,38,0
Philippines,100513138,2959.648452,0.6679999999999999,0.436,38,0
Papua New Guinea,7946731,2920.783721,0.505,0.597,25,0
Poland,38011735,14347.91458,0.843,0.146,61,17
Puerto Rico,3534874,28981.45733,0.915,0.214,63,2
North Korea,25057752,694.3958899425613,0.71,0.38299999999999995,8,6
Portugal,10401062,22074.30076,0.83,0.103,63,1
Paraguay,6599526,6102.943233,0.679,0.468,24,0
Qatar,2459198,83858.52837999999,0.85,0.546,69,2
Romania,19908979,10026.97358,0.7929999999999999,0.342,43,9
Russia,143819666,14095.64874,0.7979999999999999,0.28600000000000003,27,97
Rwanda,11083635,747.0005116000002,0.483,0.394,49,0
Saudi Arabia,30916994,24463.90316,0.8370000000000001,0.262,49,1
Sudan,37977655,1709.999605,0.479,0.595,11,0
Senegal,14174731,1396.658225,0.466,0.525,43,0
Singapore,5469724,57562.53079,0.912,0.069,84,2
Sierra Leone,7017144,714.7007123999998,0.413,0.653,31,0
El Salvador,6295128,3589.042193,0.6659999999999999,0.397,39,0
Serbia,7130576,6600.05665,0.7709999999999999,0.187,41,4
Sao Tome and Principe,195727,1782.798059,0.555,0.527,42,0
Suriname,553273,9472.0076,0.7140000000000001,0.493,36,0
Slovakia,5418649,18670.93017,0.8440000000000001,0.18,50,5
Slovenia,2061980,24214.92207,0.88,0.057,58,12
Sweden,9696110,60020.36046,0.907,0.047,87,23
Swaziland,1095021,4038.557228,0.531,0.57,43,0
Syrian Arab Republic,18715672,1821,0.594,0.5529999999999999,20,0
Chad,13663559,1020.288204,0.392,0.695,22,0
Togo,7137997,640.9342196,0.484,0.557,29,0
Thailand,68438730,5951.883702,0.726,0.369,38,4
Tajikistan,8252833,1104.171689,0.624,0.324,23,1
Turkmenistan,5466328,7962.239098,0.688,0.369,17,0
Trinidad and Tobago,1362342,20270.85937,0.772,0.341,38,4
Tunisia,11063201,4305.474165,0.721,0.28800000000000003,40,3
Turkey,77231907,12095.85457,0.7609999999999999,0.34,45,3
Tanzania,49959822,1030.092917,0.521,0.5479999999999999,31,0
Uganda,36912148,876.3543005000001,0.483,0.529,26,1
Ukraine,45272156,3104.643206,0.747,0.29,26,21
Uruguay,3400434,16831.97294,0.7929999999999999,0.317,73,0
United States,318301008,55047.72556,0.915,0.214,74,132
Uzbekistan,30757700,2492.336643,0.675,0.279,18,3
Venezuela,30045134,16054.49051,0.762,0.463,19,1
Virgin Islands (U.S.),107884,33573.097030000004,0.915,0.214,74,0
Vietnam,91714595,2030.261955,0.6659999999999999,0.334,31,1
Kosovo,1812771,4080.330717,0.733,0.267,33,0
Yemen,25823485,1673.146354,0.498,0.757,19,0
South Africa,54545991,6433.187277,0.6659999999999999,0.4,44,6
Zambia,15399753,1763.057298,0.586,0.541,38,0
Zimbabwe,13586681,1434.89934,0.509,0.535,21,0
